PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEUI(kBtu/sf),Electricity(kBtu),NaturalGas(kBtu)
K-12 School,SOUTHEAST,2000,1.0,2,75605,0,75605,K-12 School,,30.10000038,1520396.0,754477.0
K-12 School,SOUTHEAST,2008,1.0,2,29525,0,29525,K-12 School,,44.0,964739.0,333074.0
Worship Facility,GREATER DUWAMISH,1977,1.0,99,21948,0,21948,Worship Facility,,14.89999962,326001.0,0.0
Other,EAST,1927,1.0,3,31191,0,31191,Other - Recreation,Self-Storage Facility,188.3999939,3123654.0,2752785.0
K-12 School,NORTH,1954,1.0,1,42292,0,42292,K-12 School,,0.0,0.0,0.0
Other,NORTH,1947,1.0,1,37377,0,37377,"Repair Services (Vehicle, Shoe, Locksmith, etc)",Retail Store,85.40000153,1078845.0,1962133.0
Warehouse,GREATER DUWAMISH,1977,1.0,1,29380,0,29380,Non-Refrigerated Warehouse,Office,29.10000038,856089.0,0.0
Worship Facility,EAST,1922,1.0,2,22688,0,22688,Worship Facility,,14.60000038,228628.0,103047.0
Other,SOUTHEAST,1962,1.0,2,22364,0,22364,Adult Education,Parking,65.59999847,508870.0,958160.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1982,1.0,2,41262,0,41262,Office,,46.70000076,1903455.0,0.0
Small- and Mid-Sized Office,LAKE UNION,1953,1.0,2,43183,0,43183,Office,Data Center,194.6000061,6523873.0,884468.0
Worship Facility,NORTH,1908,1.0,3,45680,0,45680,Worship Facility,,45.5,509352.0,1567688.0
Worship Facility,SOUTHWEST,1957,1.0,1,23562,0,23562,Worship Facility,Office,15.89999962,531737.0,0.0
Small- and Mid-Sized Office,Ballard,1999,1.0,4,28844,0,28844,Office,Other,44.40000153,910718.0,0.0
K-12 School,DELRIDGE,1988,1.0,2,54528,0,54528,K-12 School,,36.29999924,1972078.0,0.0
Warehouse,GREATER DUWAMISH,1989,1.0,1,21101,0,21101,Non-Refrigerated Warehouse,Office,32.0,171716.0,504057.0
Refrigerated Warehouse,GREATER DUWAMISH,1914,1.0,2,45594,0,45594,Refrigerated Warehouse,,29.60000038,1351268.0,0.0
Other,GREATER DUWAMISH,1950,1.0,1,26660,0,26660,Manufacturing/Industrial Plant,,84.09999847,2241280.0,0.0
Warehouse,GREATER DUWAMISH,1975,1.0,1,28126,0,28126,Non-Refrigerated Warehouse,Office,31.0,598370.0,272256.0
Warehouse,GREATER DUWAMISH,1964,1.0,1,35000,0,35000,Non-Refrigerated Warehouse,,10.80000019,378714.0,0.0
Warehouse,GREATER DUWAMISH,1962,1.0,1,26150,0,26150,Non-Refrigerated Warehouse,,46.20000076,815508.0,392900.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1967,1.0,2,24000,0,24000,Office,,45.40000153,1088556.0,0.0
K-12 School,EAST,1968,1.0,5,43594,0,43594,K-12 School,,60.70000076,1264732.0,1213313.0
Distribution Center,LAKE UNION,1912,1.0,1,28080,0,28080,Distribution Center,Office,28.29999924,513012.0,281713.0
Worship Facility,NORTHWEST,1962,1.0,1,22047,0,22047,Worship Facility,Parking,11.60000038,265775.0,0.0
Warehouse,GREATER DUWAMISH,1979,1.0,1,31600,0,31600,Non-Refrigerated Warehouse,,106.4000015,1633306.0,1730229.0
Warehouse,GREATER DUWAMISH,2007,1.0,1,35289,0,35289,Non-Refrigerated Warehouse,,24.79999924,490823.0,385602.0
Warehouse,GREATER DUWAMISH,1981,1.0,1,28920,0,28920,Non-Refrigerated Warehouse,,58.29999924,279044.0,1471375.0
Warehouse,GREATER DUWAMISH,1978,1.0,1,22176,0,22176,Non-Refrigerated Warehouse,,33.20000076,137469.0,598959.0
Warehouse,GREATER DUWAMISH,1978,1.0,1,31300,0,31300,Non-Refrigerated Warehouse,,11.60000038,220913.0,141961.0
Warehouse,GREATER DUWAMISH,1979,1.0,1,22000,0,22000,Non-Refrigerated Warehouse,Parking,31.79999924,700628.0,0.0
Small- and Mid-Sized Office,NORTH,1974,1.0,3,39927,0,39927,Office,Parking,90.19999695,3568419.0,0.0
Other,NORTH,1979,1.0,1,30610,0,30610,Other - Recreation,Office,140.3000031,1999987.0,2294563.0
Medical Office,NORTH,1980,1.0,2,26930,6350,20580,Medical Office,,37.20000076,1002995.0,0.0
Medical Office,NORTH,1968,1.0,2,38745,0,38745,Medical Office,Parking,44.40000153,2251578.0,638800.0
Self-Storage Facility,NORTHEAST,1959,1.0,2,20296,0,20296,Self-Storage Facility,,42.20000076,855665.0,0.0
Mixed Use Property,NORTHEAST,1945,1.0,2,22135,0,22135,Medical Office,Office,55.0,858099.0,403535.0
Medical Office,NORTHEAST,1967,1.0,3,38378,0,38378,Medical Office,Parking,46.90000153,729620.0,915985.0
Warehouse,NORTHEAST,1980,1.0,2,33576,0,33576,Non-Refrigerated Warehouse,,38.0,390124.0,885108.0
Supermarket / Grocery Store,NORTHEAST,1975,1.0,1,33005,0,33005,Supermarket/Grocery Store,Parking,304.2000122,7359683.0,3283070.0
Other,EAST,1981,1.0,1,20971,0,20971,Parking,Retail Store,33.29999924,729397.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1927,1.0,3,23910,0,23910,Office,Retail Store,36.5,678167.0,195410.0
Worship Facility,BALLARD,1910,1.0,2,21765,0,21765,Worship Facility,,19.79999924,119922.0,311468.0
University,EAST,1939,1.0,2,2200000,0,2200000,College/University,Parking,66.69999695,61672821.0,52975694.0
Worship Facility,CENTRAL,1901,1.0,2,26560,0,26560,Worship Facility,,65.90000153,609983.0,1141501.0
Warehouse,LAKE UNION,1957,1.0,2,20140,0,20140,Non-Refrigerated Warehouse,,5.800000191,116487.0,0.0
Retail Store,GREATER DUWAMISH,1992,1.0,2,38845,0,38845,Retail Store,Parking,178.1000061,3290526.0,3626753.0
Supermarket / Grocery Store,GREATER DUWAMISH,1953,1.0,1,26092,0,26092,Supermarket/Grocery Store,Parking,293.7000122,5004995.0,2614450.0
K-12 School,NORTH,1955,1.0,1,38582,0,38582,K-12 School,,45.79999924,729477.0,1119402.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1967,1.0,1,25500,0,25500,Office,,47.59999847,198748.0,1015122.0
Warehouse,GREATER DUWAMISH,1961,1.0,1,41895,0,41895,Non-Refrigerated Warehouse,Office,31.0,886222.0,356089.0
Retail Store,GREATER DUWAMISH,1958,1.0,2,56193,0,56193,Retail Store,,44.5,1858950.0,638992.0
K-12 School,BALLARD,1922,1.0,3,35448,0,35448,K-12 School,,38.90000153,280549.0,1099383.0
Supermarket / Grocery Store,BALLARD,1966,1.0,1,29214,0,29214,Supermarket/Grocery Store,,319.6000061,6227281.0,3108958.0
Supermarket / Grocery Store,BALLARD,2000,1.0,1,89103,43035,46068,Supermarket/Grocery Store,Parking,298.2999878,7808020.0,6221459.0
Other,BALLARD,1961,1.0,1,32000,0,32000,Other - Recreation,Office,38.5,548631.0,782491.0
Mixed Use Property,BALLARD,1910,1.0,2,31140,0,31140,Other,Retail Store,30.0,234613.0,700967.0
Warehouse,BALLARD,1975,1.0,3,41478,0,41478,Non-Refrigerated Warehouse,Office,73.19999695,1799383.0,1236579.0
Warehouse,BALLARD,1980,1.0,1,39840,0,39840,Non-Refrigerated Warehouse,,18.89999962,752104.0,0.0
Other,BALLARD,2004,1.0,1,30576,15576,15000,Library,Other - Services,84.69999695,930038.0,603208.0
Other,BALLARD,1924,1.0,2,21528,0,21528,Social/Meeting Hall,,14.30000019,209914.0,96997.0
Other,BALLARD,1928,1.0,2,30000,0,30000,Strip Mall,Parking,42.40000153,975561.0,119380.0
Other,BALLARD,1942,1.0,2,30087,0,30087,Other,,172.6000061,5274641.0,0.0
Worship Facility,BALLARD,1975,1.0,1,40445,0,40445,Worship Facility,,19.39999962,271219.0,515035.0
Retail Store,BALLARD,1996,1.0,1,23500,0,23500,Retail Store,,48.40000153,1021883.0,116084.0
Retail Store,Ballard,1967,1.0,1,22420,0,22420,Retail Store,,60.90000153,927422.0,476832.0
Supermarket / Grocery Store,MAGNOLIA / QUEEN ANNE,1961,1.0,1,25842,0,25842,Supermarket/Grocery Store,,327.7999878,4656997.0,3861316.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1992,1.0,3,26389,0,26389,Office,Fitness Center/Health Club/Gym,45.79999924,1208035.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1982,1.0,3,25859,0,25859,Office,Parking,33.20000076,665707.0,193073.0
Warehouse,MAGNOLIA / QUEEN ANNE,1974,1.0,1,25600,0,25600,Non-Refrigerated Warehouse,Office,67.59999847,1249609.0,480992.0
Other,MAGNOLIA / QUEEN ANNE,1965,1.0,1,23169,0,23169,Manufacturing/Industrial Plant,,21.79999924,222256.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,2008,1.0,4,41784,8399,33385,Office,Parking,38.79999924,1294615.0,0.0
Warehouse,MAGNOLIA / QUEEN ANNE,1960,1.0,1,56884,0,56884,Non-Refrigerated Warehouse,,24.39999962,785464.0,602881.0
Retail Store,BALLARD,1989,1.0,1,32810,0,32810,Retail Store,,61.5,1316268.0,701700.0
Self-Storage Facility,MAGNOLIA / QUEEN ANNE,1980,1.0,3,30989,0,30989,Self-Storage Facility,,3.200000048,97690.0,0.0
Self-Storage Facility,MAGNOLIA / QUEEN ANNE,1915,1.0,3,39952,0,39952,Self-Storage Facility,,1.399999976,57133.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1961,1.0,2,20022,0,20022,Office,,31.60000038,657386.0,0.0
Distribution Center,MAGNOLIA / QUEEN ANNE,1960,1.0,2,36498,0,36498,Distribution Center,Non-Refrigerated Warehouse,14.69999981,277628.0,242384.0
Distribution Center,MAGNOLIA / QUEEN ANNE,1968,1.0,1,35946,0,35946,Distribution Center,Office,13.10000038,300259.0,169240.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,2007,1.0,4,30152,5680,24472,Office,Parking,33.59999847,844068.0,976.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1979,1.0,4,22365,0,22365,Office,,33.59999847,727386.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1994,1.0,4,30172,0,30172,Office,,30.0,904060.0,0.0
Warehouse,BALLARD,1927,1.0,4,42500,0,42500,Non-Refrigerated Warehouse,Retail Store,5.099999905,241478.0,0.0
Small- and Mid-Sized Office,BALLARD,1901,1.0,4,23032,0,23032,Office,Restaurant,52.90000153,1121537.0,0.0
Other,BALLARD,1900,1.0,3,45750,4914,40836,Other,Parking,169.0,1749609.0,5490664.0
Small- and Mid-Sized Office,BALLARD,1968,1.0,2,23500,0,23500,Office,,71.80000305,1192984.0,493421.0
Small- and Mid-Sized Office,BALLARD,1966,1.0,1,22282,0,22282,Office,,26.0,306298.0,273590.0
Self-Storage Facility,BALLARD,1902,1.0,2,24000,0,24000,Self-Storage Facility,,21.0,201999.0,300900.0
Mixed Use Property,BALLARD,1909,1.0,3,27085,0,27085,Strip Mall,Office,73.69999695,981638.0,1013494.0
Other,NORTH,1996,0.0,2,29258,0,29258,Other - Recreation,Fitness Center/Health Club/Gym,233.5,2608582.0,5478361.0
Small- and Mid-Sized Office,NORTH,1931,1.0,2,37500,0,37500,Office,,59.59999847,1614256.0,621509.0
K-12 School,NORTHWEST,1930,1.0,3,23983,0,23983,K-12 School,,48.5,618998.0,545367.0
Distribution Center,DELRIDGE,1980,1.0,1,24100,0,24100,Distribution Center,Non-Refrigerated Warehouse,34.29999924,271509.0,538362.0
Worship Facility,SOUTHWEST,1971,1.0,1,23772,0,23772,Worship Facility,,4.199999809,100842.0,0.0
K-12 School,NORTHEAST,2004,3.0,2,31343,0,31343,K-12 School,,74.69999695,1639135.0,2207366.0
Mixed Use Property,NORTHWEST,1996,1.0,3,55912,22850,33062,Parking,Office,74.09999847,2450443.0,0.0
Other,MAGNOLIA / QUEEN ANNE,1957,1.0,2,20294,0,20294,Other,Office,85.5,536408.0,1199588.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1983,1.0,4,40571,10849,29722,Office,,53.59999847,1286817.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1983,1.0,4,41707,15659,26048,Office,Parking,42.09999847,1755788.0,0.0
Mixed Use Property,MAGNOLIA / QUEEN ANNE,1960,1.0,2,57644,0,57644,Office,Other - Services,39.70000076,1591510.0,598225.0
Warehouse,MAGNOLIA / QUEEN ANNE,1955,1.0,2,39497,0,39497,Non-Refrigerated Warehouse,Office,43.0,1344071.0,355986.0
Other,EAST,1932,1.0,1,33087,0,33087,Other - Entertainment/Public Assembly,,66.0,1443141.0,2105717.0
Small- and Mid-Sized Office,NORTHWEST,1982,1.0,2,27574,0,27574,Office,,43.90000153,1211349.0,0.0
Retail Store,NORTH,1965,1.0,1,24982,0,24982,Retail Store,,13.39999962,335245.0,0.0
Small- and Mid-Sized Office,NORTHWEST,1987,1.0,3,76105,27307,48798,Office,,32.5,2472350.0,0.0
Mixed Use Property,North,1952,1.0,2,32009,0,32009,Non-Refrigerated Warehouse,Retail Store,53.59999847,1340993.0,657732.0
Retail Store,NORTH,1966,1.0,1,41615,0,41615,Retail Store,,45.70000076,1900006.0,0.0
Medical Office,NORTH,1988,1.0,3,28841,0,28841,Medical Office,,50.59999847,955324.0,503875.0
Self-Storage Facility,NORTH,1977,2.0,2,33344,0,33344,Self-Storage Facility,Office,3.799999952,123767.0,0.0
Other,NORTH,2005,2.0,1,30498,0,30498,Other - Recreation,,79.90000153,1066226.0,1369837.0
K-12 School,DELRIDGE,1924,1.0,2,42975,0,42975,K-12 School,,44.79999924,173165.0,786187.0
Other,DELRIDGE,1963,1.0,1,23260,0,23260,"Repair Services (Vehicle, Shoe, Locksmith, etc)",Office,69.30000305,719779.0,892327.0
Small- and Mid-Sized Office,DELRIDGE,1988,1.0,2,30659,0,30659,Office,Non-Refrigerated Warehouse,72.40000153,1804388.0,814700.0
Other,MAGNOLIA / QUEEN ANNE,1920,1.0,2,27144,0,27144,Other,,37.29999924,458796.0,553228.0
Other,NORTHWEST,1970,5.0,1,23166,0,23166,Other,,150.0,3.0,3475801.0
Medical Office,NORTHWEST,1979,1.0,2,34759,0,34759,Medical Office,Parking,36.59999847,1633105.0,0.0
Hospital,NORTHWEST,1966,8.0,1,415632,0,415632,Hospital (General Medical & Surgical),Parking,204.6999969,42864158.0,56096612.0
Worship Facility,NORTHWEST,1965,1.0,2,44719,0,44719,Worship Facility,Medical Office,33.70000076,704681.0,909345.0
Supermarket / Grocery Store,GREATER DUWAMISH,1965,1.0,1,21603,0,21603,Supermarket/Grocery Store,,270.0,3900058.0,1933742.0
Medical Office,EAST,1964,1.0,3,591981,0,591981,Medical Office,Parking,173.3999939,48002292.0,54671394.0
Distribution Center,DELRIDGE,1979,1.0,1,42900,0,42900,Distribution Center,,10.10000038,436253.0,0.0
Other,DELRIDGE,2005,5.0,1,57952,0,57952,Adult Education,,53.29999924,1474450.0,1616937.0
Other,DELRIDGE,1971,1.0,1,26232,0,26232,Other - Services,Office,118.0,902081.0,2192009.0
Warehouse,DOWNTOWN,1956,1.0,2,25840,0,25840,Non-Refrigerated Warehouse,,12.10000038,313528.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1988,1.0,1,45145,0,45145,Office,,29.0,514491.0,753968.0
Small- and Mid-Sized Office,DOWNTOWN,2001,1.0,5,70332,22095,48237,Office,Parking,44.59999847,1866104.0,115011.0
K-12 School,GREATER DUWAMISH,1971,1.0,1,50546,0,50546,K-12 School,,21.70000076,1066312.0,88768.0
Supermarket / Grocery Store,BALLARD,1994,1.0,1,45522,0,45522,Supermarket/Grocery Store,Parking,269.1000061,7019711.0,5230709.0
Retail Store,NORTHWEST,1979,1.0,2,20088,0,20088,Retail Store,Office,16.70000076,326778.0,0.0
Other,GREATER DUWAMISH,1989,5.0,2,138907,0,138907,Other,,56.20000076,5130303.0,2707389.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1997,1.0,2,40657,0,40657,Office,Parking,69.5,2742404.0,84424.0
Warehouse,GREATER DUWAMISH,1900,1.0,1,20200,0,20200,Non-Refrigerated Warehouse,Office,13.30000019,260808.0,8209.0
Small- and Mid-Sized Office,EAST,1970,1.0,7,54372,20824,33548,Office,Parking,25.79999924,1403820.0,0.0
Other,EAST,1951,1.0,1,47699,0,47699,Museum,Parking,309.0,5782654.0,111350.0
Medical Office,EAST,1945,1.0,0,274568,0,274568,Medical Office,Parking,111.0,12015275.0,0.0
Small- and Mid-Sized Office,EAST,1956,1.0,3,21282,0,21282,Office,,63.40000153,483381.0,0.0
Other,SOUTHEAST,1921,1.0,2,41022,0,41022,Other,,92.30000305,3787648.0,0.0
Other,DELRIDGE,1966,1.0,2,28109,0,28109,Other,,128.5,3326281.0,286245.0
Small- and Mid-Sized Office,NORTH,1985,1.0,3,33580,12990,20590,Office,Parking,19.89999962,409579.0,0.0
Warehouse,NORTH,1977,1.0,1,21936,0,21936,Non-Refrigerated Warehouse,,5.199999809,71827.0,41303.0
Other,NORTH,1969,1.0,1,30160,0,30160,Other,,34.70000076,244597.0,801241.0
Mixed Use Property,DOWNTOWN,1909,1.0,11,111137,0,111137,Office,Multifamily Housing,96.40000153,4602455.0,4943709.0
Other,Delridge,1997,1.0,1,40189,0,40189,Other - Utility,Office,40.29999924,921235.0,588057.0
Small- and Mid-Sized Office,DELRIDGE,1988,1.0,2,66484,0,66484,Office,Non-Refrigerated Warehouse,39.90000153,3046543.0,0.0
Small- and Mid-Sized Office,EAST,1959,1.0,3,25151,0,25151,Office,,56.20000076,607890.0,0.0
Hotel,EAST,1928,1.0,6,35770,0,35770,Hotel,,73.80000305,605147.0,2035833.0
Hotel,EAST,1928,1.0,9,48006,0,48006,Hotel,,67.5,1533438.0,1706316.0
Mixed Use Property,DOWNTOWN,1960,1.0,2,29631,0,29631,Supermarket/Grocery Store,Office,151.3000031,2737254.0,2407137.0
Small- and Mid-Sized Office,DOWNTOWN,1989,1.0,2,23472,0,23472,Office,Other,71.59999847,864104.0,761205.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1973,1.0,2,21315,0,21315,Office,,136.8999939,820533.0,1975892.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1984,1.0,4,57110,15812,41298,Office,Parking,59.40000153,1994494.0,195966.0
Small- and Mid-Sized Office,DOWNTOWN,1979,1.0,3,34030,0,34030,Office,,51.40000153,1530330.0,218300.0
Restaurant,SOUTHWEST,1902,1.0,2,20398,0,20398,Restaurant,Office,456.6000061,3478554.0,5834959.0
Distribution Center,GREATER DUWAMISH,1952,1.0,1,41308,0,41308,Distribution Center,,39.79999924,1054767.0,587704.0
Mixed Use Property,DOWNTOWN,1913,1.0,3,43878,0,43878,Multifamily Housing,Office,23.39999962,769771.0,0.0
Other,MAGNOLIA / QUEEN ANNE,1912,1.0,3,34976,0,34976,Performing Arts,,25.0,665472.0,208239.0
Warehouse,MAGNOLIA / QUEEN ANNE,1957,1.0,1,38255,0,38255,Non-Refrigerated Warehouse,,25.79999924,401825.0,583577.0
Other,MAGNOLIA / QUEEN ANNE,1955,23.0,1,260241,0,260241,Other,,130.6999969,26894616.0,7118362.0
Small- and Mid-Sized Office,LAKE UNION,1989,1.0,3,48924,0,48924,Office,Parking,72.90000153,1343373.0,939178.0
Small- and Mid-Sized Office,LAKE UNION,1959,1.0,4,50333,18036,32297,Office,,31.79999924,1602084.0,0.0
Small- and Mid-Sized Office,LAKE UNION,1986,1.0,4,57432,21906,35526,Office,Parking,73.80000305,2520483.0,0.0
Small- and Mid-Sized Office,LAKE UNION,1969,1.0,3,25912,7956,17956,Office,Parking,38.5,666740.0,0.0
Small- and Mid-Sized Office,LAKE UNION,2000,1.0,3,57132,21908,35224,Office,Parking,59.20000076,1994967.0,0.0
Worship Facility,DELRIDGE,1957,1.0,2,24224,0,24224,Worship Facility,Parking,40.0,534935.0,433091.0
Worship Facility,DELRIDGE,1963,1.0,1,23706,0,23706,Worship Facility,,16.89999962,176869.0,223902.0
Warehouse,GREATER DUWAMISH,1963,1.0,1,31900,0,31900,Non-Refrigerated Warehouse,Office,61.40000153,1964681.0,0.0
Other,SOUTHWEST,1917,1.0,1,49066,0,49066,Social/Meeting Hall,,78.30000305,538005.0,3297197.0
Worship Facility,SOUTHWEST,1952,1.0,3,30740,0,30740,Worship Facility,Other - Recreation,42.20000076,612433.0,1073829.0
Supermarket / Grocery Store,SOUTHEAST,1959,1.0,1,67450,0,67450,Supermarket/Grocery Store,,66.5,2061754.0,781065.0
K-12 School,BALLARD,1958,1.0,1,39971,0,39971,K-12 School,,0.0,0.0,945537.0
Warehouse,MAGNOLIA / QUEEN ANNE,1948,1.0,1,46970,0,46970,Non-Refrigerated Warehouse,,18.79999924,882896.0,0.0
Warehouse,MAGNOLIA / QUEEN ANNE,1931,1.0,1,47554,0,47554,Non-Refrigerated Warehouse,Office,33.29999924,844482.0,191073.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1979,1.0,2,43016,5400,37616,Office,,28.70000076,107823.0,1126273.0
Mixed Use Property,MAGNOLIA / QUEEN ANNE,1931,1.0,1,24196,0,24196,Other,Non-Refrigerated Warehouse,43.59999847,731279.0,323754.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1940,1.0,2,20671,0,20671,Office,,30.89999962,198321.0,440186.0
Warehouse,GREATER DUWAMISH,1927,1.0,1,21600,0,21600,Non-Refrigerated Warehouse,,23.10000038,264154.0,235675.0
Worship Facility,SOUTHWEST,1977,1.0,1,35844,0,35844,Worship Facility,,24.20000076,866126.0,0.0
Small- and Mid-Sized Office,LAKE UNION,1916,1.0,3,31774,0,31774,Office,Retail Store,48.40000153,1477827.0,161309.0
Warehouse,GREATER DUWAMISH,1953,1.0,1,26094,0,26094,Non-Refrigerated Warehouse,,27.20000076,709991.0,0.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1983,1.0,2,23687,0,23687,Office,,45.79999924,1084554.0,0.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1983,1.0,2,24221,0,24221,Office,,59.29999924,1435563.0,0.0
Mixed Use Property,DOWNTOWN,1900,1.0,2,71919,14083,57836,Office,Retail Store,93.40000153,5381104.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,2,32027,0,32027,Office,Retail Store,124.9000015,1820615.0,2178890.0
Small- and Mid-Sized Office,DOWNTOWN,1906,1.0,3,32160,0,32160,Office,Retail Store,56.20000076,2805826.0,0.0
Other,GREATER DUWAMISH,1992,1.0,3,47836,7572,40264,Other - Lodging/Residential,Parking,81.69999695,1699980.0,1840246.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1914,1.0,3,34425,0,34425,Office,Non-Refrigerated Warehouse,40.40000153,1238171.0,780215.0
K-12 School,GREATER DUWAMISH,1971,1.0,2,52609,0,52609,K-12 School,,34.29999924,1066165.0,735777.0
Medical Office,SOUTHWEST,1984,1.0,3,40304,12000,28304,Medical Office,Parking,97.59999847,1961581.0,0.0
Distribution Center,GREATER DUWAMISH,1990,1.0,1,29619,0,29619,Distribution Center,Office,43.20000076,553737.0,726527.0
K-12 School,CENTRAL,1922,1.0,2,21592,0,21592,K-12 School,,69.19999695,472592.0,959192.0
K-12 School,NORTH,1931,1.0,2,23923,0,23923,K-12 School,,33.70000076,504519.0,301124.0
Small- and Mid-Sized Office,CENTRAL,1907,1.0,3,25200,0,25200,Office,Retail Store,72.90000153,1208901.0,539543.0
Small- and Mid-Sized Office,CENTRAL,1947,1.0,1,45068,0,45068,Office,,6.300000191,141784.0,143073.0
Small- and Mid-Sized Office,CENTRAL,1963,1.0,2,28296,0,28296,Office,,49.40000153,1328461.0,0.0
Small- and Mid-Sized Office,CENTRAL,1999,1.0,3,31357,0,31357,Office,Medical Office,64.40000153,1774664.0,190411.0
Distribution Center,GREATER DUWAMISH,1968,1.0,1,160000,0,160000,Distribution Center,,7.199999809,1157977.0,0.0
Warehouse,GREATER DUWAMISH,1960,1.0,1,53550,0,53550,Non-Refrigerated Warehouse,,85.69999695,1499028.0,3091218.0
Warehouse,GREATER DUWAMISH,1924,1.0,1,38412,0,38412,Non-Refrigerated Warehouse,Office,40.70000076,421294.0,1207246.0
Self-Storage Facility,GREATER DUWAMISH,1930,1.0,1,25881,0,25881,Self-Storage Facility,,21.10000038,545426.0,0.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1953,1.0,1,24291,0,24291,Office,,27.29999924,329487.0,325936.0
Warehouse,GREATER DUWAMISH,1966,1.0,1,36544,0,36544,Non-Refrigerated Warehouse,,34.70000076,1269847.0,0.0
Warehouse,GREATER DUWAMISH,1949,1.0,1,20796,0,20796,Non-Refrigerated Warehouse,,63.70000076,416703.0,907389.0
Distribution Center,GREATER DUWAMISH,1947,1.0,1,21349,0,21349,Distribution Center,Office,30.89999962,390044.0,269718.0
Warehouse,GREATER DUWAMISH,1936,1.0,1,38630,0,38630,Non-Refrigerated Warehouse,,10.80000019,416886.0,0.0
Warehouse,GREATER DUWAMISH,1950,1.0,1,20724,0,20724,Non-Refrigerated Warehouse,Office,88.40000153,303491.0,1528541.0
Other,GREATER DUWAMISH,1960,1.0,1,24109,0,24109,Manufacturing/Industrial Plant,Parking,196.8999939,4747403.0,0.0
Refrigerated Warehouse,GREATER DUWAMISH,1955,1.0,1,25375,0,25375,Refrigerated Warehouse,Office,158.3999939,4069301.0,0.0
Warehouse,GREATER DUWAMISH,1985,1.0,1,22803,0,22803,Non-Refrigerated Warehouse,Other,33.5,413650.0,350444.0
Mixed Use Property,GREATER DUWAMISH,1985,1.0,1,23100,0,23100,Office,Other - Public Services,187.1999969,1572644.0,2751028.0
Refrigerated Warehouse,GREATER DUWAMISH,1951,1.0,1,41550,0,41550,Refrigerated Warehouse,,15.5,642645.0,0.0
Other,GREATER DUWAMISH,1994,1.0,2,54170,0,54170,Other,,107.1999969,2816387.0,2988397.0
K-12 School,GREATER DUWAMISH,2000,1.0,2,64493,0,64493,K-12 School,,30.89999962,1671294.0,318470.0
K-12 School,SOUTHEAST,1912,1.0,2,42252,0,42252,K-12 School,,52.20000076,318351.0,1885408.0
Self-Storage Facility,GREATER DUWAMISH,1955,1.0,1,23100,0,23100,Self-Storage Facility,,37.09999847,693592.0,170111.0
Worship Facility,SOUTHEAST,1981,1.0,3,22895,0,22895,Worship Facility,Parking,19.20000076,226988.0,213431.0
Retail Store,GREATER DUWAMISH,2002,1.0,2,54211,17471,36740,Retail Store,Supermarket/Grocery Store,36.20000076,1267463.0,0.0
K-12 School,SOUTHEAST,1961,1.0,1,41428,0,41428,K-12 School,,33.90000153,657517.0,747185.0
Self-Storage Facility,NORTHEAST,2006,1.0,6,48179,7132,41047,Self-Storage Facility,,16.5,652860.0,144310.0
Warehouse,GREATER DUWAMISH,1937,1.0,1,52325,0,52325,Non-Refrigerated Warehouse,,15.5,540429.0,268539.0
Other,GREATER DUWAMISH,1920,1.0,4,20600,0,20600,"Repair Services (Vehicle, Shoe, Locksmith, etc)",,13.10000038,101274.0,169565.0
Other,GREATER DUWAMISH,1991,10.0,0,230971,0,230971,Other,Parking,91.0,15419770.0,5602515.0
Retail Store,GREATER DUWAMISH,1944,1.0,1,25880,0,25880,Retail Store,,6.300000191,162960.0,0.0
Warehouse,GREATER DUWAMISH,1960,1.0,1,45842,0,45842,Non-Refrigerated Warehouse,Office,11.39999962,671187.0,148167.0
Other,GREATER DUWAMISH,1972,1.0,1,31365,0,31365,Other,,20.79999924,641398.0,11594.0
